"allele_freqs_filter$Chr_new","allele_freqs_filter$Dataset","Da02_fw_allele_freq_Median","Mi17_fw_allele_freq_Median","Mi23_fw_allele_freq_Median","Da02_fw_allele_freq_Mean","Mi17_fw_allele_freq_Mean","Mi23_fw_allele_freq_Mean","Da02_fw_allele_freq_SD","Mi17_fw_allele_freq_SD","Mi23_fw_allele_freq_SD"
"groupI","FW1",0.02,0.025,0.0161290322580645,0.0645505617977528,0.0717696629213483,0.0558626313881841,0.0866436459295497,0.0862617228181077,0.0838942287707358
"groupI","FW2",0.02,0.02,0,0.0514977973568282,0.0514977973568282,0.0335370186158875,0.0773021525103765,0.0764734539197683,0.0684176827082448
"groupI","SW",0.02,0.02,0,0.0575572519083969,0.0541221374045802,0.0416153656734794,0.0744321229562513,0.0796421827638869,0.0816795743346933
"groupII","FW1",0.05,0.02,0,0.0770063694267516,0.0669426751592357,0.0556811177316622,0.0905712990719499,0.0848729247726524,0.0948851656227093
"groupII","FW2",0.045,0.02,0,0.0635227272727273,0.0425,0.0289589442815249,0.0704833847336446,0.0569986892367943,0.0631179175148474
"groupII","SW",0.045,0.025,0.0161290322580645,0.0664285714285714,0.0590476190476191,0.0460829493087558,0.0745661084516064,0.0825747118854997,0.0807294153560913
"groupIII","FW1",0.08,0.11,0.0806451612903226,0.114285714285714,0.121071428571429,0.105702764976959,0.10728184892793,0.103046889902906,0.0937440778995131
"groupIII","FW2",0.03,0.02,0.0161290322580645,0.0612903225806452,0.0561290322580645,0.0603537981269511,0.0759272430459525,0.0817996503397107,0.0816037376313885
"groupIII","SW",0.05,0.05,0.0564516129032258,0.0909090909090909,0.0895454545454546,0.0975073313782991,0.0964073248999903,0.101581647795412,0.111908861574173
"groupIV","FW1",0.02,0.02,0,0.0515636363636364,0.0465818181818182,0.0280645161290323,0.0757434947668988,0.0711264276020364,0.0702671350325336
"groupIV","FW2",0.02,0.02,0,0.0495445544554455,0.0407722772277228,0.0238901309485787,0.072579940158027,0.066574323126595,0.0681048392293221
"groupIV","SW",0.02,0.02,0,0.054656862745098,0.0454411764705882,0.0297280202403542,0.0762246769612601,0.0729026240960277,0.0760309542296078
"groupIX","FW1",0.04,0.05,0.0403225806451613,0.0890990990990991,0.11045045045045,0.0916158093577448,0.108323710857902,0.114913994102199,0.106956495202604
"groupIX","FW2",0.02,0.03,0.0161290322580645,0.0690225563909774,0.0790977443609023,0.0657288382245937,0.0962388495048721,0.101693677335541,0.0945830481690011
"groupIX","SW",0.025,0.04,0.032258064516129,0.0685849056603774,0.0793396226415094,0.0658855751673768,0.0924114884555078,0.102132210001822,0.0884577605709314
"groupV","FW1",0.04,0.03,0.0161290322580645,0.0786607142857143,0.0777678571428571,0.0675403225806452,0.0968280312302054,0.104085116082759,0.0958380383595686
"groupV","FW2",0.03,0.02,0.0161290322580645,0.0475471698113208,0.0383018867924528,0.032258064516129,0.0571067037819203,0.0653610048722479,0.0736412717208521
"groupV","SW",0.04,0.02,0.0161290322580645,0.0667272727272727,0.0565454545454545,0.0475073313782991,0.0768609746725178,0.0799355801236031,0.076627407406412
"groupVI","FW1",0.09,0.09,0.0967741935483871,0.110823529411765,0.116823529411765,0.115180265654649,0.110434334773741,0.0992137155061628,0.102890227775331
"groupVI","FW2",0.04,0.015,0.0403225806451613,0.065,0.07,0.0524193548387097,0.0854400374531753,0.113431330181157,0.0636705337759517
"groupVI","SW",0.1,0.13,0.129032258064516,0.0885714285714286,0.121428571428571,0.124423963133641,0.0552052447473883,0.0587164291116128,0.0643238301573275
"groupVII","FW1",0.04,0.03,0,0.0601168224299065,0.0519626168224299,0.0360642146517938,0.0747814013195929,0.073703491696243,0.0811278366873032
"groupVII","FW2",0.04,0.02,0,0.0555583756345178,0.0447208121827411,0.0292287538889799,0.0717630955034349,0.0678949062410891,0.0787056502844199
"groupVII","SW",0.03,0.02,0,0.05575,0.0438214285714286,0.0285714285714286,0.0774467674736311,0.0720566053729996,0.0773302483979197
"groupVIII","FW1",0.02,0.03,0.0161290322580645,0.0708490566037736,0.0838679245283019,0.0688527084601339,0.099192167598303,0.100953471096727,0.101910251185161
"groupVIII","FW2",0.02,0.02,0,0.0488549618320611,0.0461068702290076,0.0302881063777395,0.0878078428368012,0.073260048080414,0.0733423745268596
"groupVIII","SW",0.02,0.02,0,0.0444047619047619,0.0479761904761905,0.0380184331797235,0.0740620252998045,0.0801772097821146,0.0807672165024598
"groupX","FW1",0.03,0.04,0.0161290322580645,0.0661538461538462,0.0826923076923077,0.0646401985111663,0.0808519041918557,0.0889106202316805,0.0942510142748336
"groupX","FW2",0.03,0.03,0.0161290322580645,0.0738297872340426,0.0765957446808511,0.0552505147563487,0.0947893130898241,0.0878802692339358,0.0943324904217191
"groupX","SW",0.1,0.07,0.0483870967741935,0.121428571428571,0.124285714285714,0.0967741935483871,0.0872598745947169,0.132772630570353,0.107795363740664
"groupXI","FW1",0.03,0.04,0.0161290322580645,0.0748230088495575,0.0768141592920354,0.0680131316014844,0.0945408299884583,0.0888520916952629,0.0994398469492195
"groupXI","FW2",0.03,0.03,0.0161290322580645,0.0747120418848168,0.0730890052356021,0.0644316838371897,0.0915354162779478,0.090119145898229,0.099308874422274
"groupXI","SW",0.03,0.03,0.0161290322580645,0.070125,0.07125,0.0607862903225806,0.0937143223516901,0.094141269464312,0.0977870489170691
"groupXII","FW1",0.03,0.02,0,0.0542916666666667,0.048625,0.0442876344086022,0.0711436634618087,0.0738948209326572,0.0836951643969059
"groupXII","FW2",0.04,0.02,0,0.0525555555555556,0.0358333333333333,0.0298387096774194,0.0580802971642195,0.0611881885122269,0.061387347205819
"groupXII","SW",0.04,0.02,0,0.0586,0.0445,0.0356451612903226,0.0592208671931703,0.0736134457415179,0.0660574678929001
"groupXIII","FW1",0.03,0.04,0.032258064516129,0.0795918367346939,0.0919047619047619,0.0781215712091288,0.0968467052432157,0.105903376311406,0.101583626871167
"groupXIII","FW2",0.01,0.01,0,0.0288157894736842,0.0365789473684211,0.0212224108658744,0.0454303013494491,0.0630249184916347,0.0504031975098959
"groupXIII","SW",0.015,0.02,0,0.0457142857142857,0.0528571428571429,0.0535714285714286,0.0837734410060218,0.0858878313657969,0.100010942037172
"groupXIV","FW1",0.05,0.08,0.0645161290322581,0.0933333333333333,0.100888888888889,0.0931899641577061,0.0965542711262804,0.0849818756672221,0.0892007793047754
"groupXIV","FW2",0.155,0.16,0.17741935483871,0.155,0.16,0.17741935483871,0.148492424049175,0.197989898732233,0.22809896167308
"groupXIV","SW",0.11,0.09,0.0967741935483871,0.102,0.102,0.141935483870968,0.0342052627529741,0.0356370593624109,0.0908108920016726
"groupXIX","FW1",0.04,0.03,0.0161290322580645,0.0827160493827161,0.085,0.0706889685384309,0.102163093890308,0.105537665114233,0.101789112376861
"groupXIX","FW2",0.035,0.02,0,0.0721774193548387,0.0639516129032258,0.0524193548387097,0.0874718118021617,0.0861159980452448,0.0885247100077465
"groupXIX","SW",0.035,0.02,0,0.0664035087719298,0.055,0.0408885116015846,0.0795577064786683,0.0754133154130815,0.0669048172241453
"groupXV","FW1",0.07,0.08,0.112903225806452,0.135789473684211,0.128421052631579,0.126485568760611,0.140250402632565,0.116536267978625,0.0893611073158509
"groupXV","FW2",0.01,0.04,0.0645161290322581,0.01,0.04,0.0645161290322581,NA,NA,NA
"groupXVI","FW1",0.03,0.05,0.032258064516129,0.0814141414141414,0.0886868686868687,0.0778755294884327,0.104324944685795,0.102704713091052,0.106939264573028
"groupXVI","FW2",0.01,0.01,0.0161290322580645,0.0433333333333333,0.0466666666666667,0.0392886683209264,0.076479558098995,0.0706113653194775,0.069402683362358
"groupXVI","SW",0.075,0.075,0.0725806451612903,0.0927272727272727,0.0995454545454545,0.0835777126099707,0.0813681708088563,0.0853272285424526,0.0768921442939994
"groupXVII","FW1",0.05,0.04,0.0483870967741935,0.0771698113207547,0.0849056603773585,0.076080340839927,0.100276106489313,0.0894990898430179,0.0919157480933724
"groupXVII","FW2",0.02,0.01,0,0.0452941176470588,0.0447058823529412,0.0426944971537002,0.0535160778480196,0.0647222572863099,0.0828216729837244
"groupXVII","SW",0.07,0.145,0.129032258064516,0.136428571428571,0.157857142857143,0.1463133640553,0.142645722676154,0.130571440594416,0.117244485326183
"groupXVIII","FW1",0.09,0.095,0.0887096774193548,0.123611111111111,0.12625,0.112903225806452,0.113712084602577,0.107092660944478,0.0996836608059894
"groupXVIII","FW2",0.205,0.2,0.209677419354839,0.188333333333333,0.21,0.196236559139785,0.112679486450137,0.157480157480236,0.131594190109673
"groupXVIII","SW",0.115,0.115,0.112903225806452,0.145,0.141666666666667,0.134408602150538,0.0903025218614932,0.0840814900539766,0.0681988963149819
"groupXX","FW1",0.12,0.02,0.0161290322580645,0.11068,0.06384,0.051741935483871,0.0951891880735644,0.0816229355907873,0.0824780949277242
"groupXX","FW2",0.13,0.02,0.0161290322580645,0.113636363636364,0.0435406698564593,0.0335699953696558,0.0918568169771566,0.0698962109785969,0.0670972627981087
"groupXX","SW",0.14,0.02,0,0.122777777777778,0.0444444444444444,0.0293138760880696,0.0902231800715438,0.0772482290339972,0.0594599627850957
"groupXXI","FW1",0.03,0.02,0,0.0617587939698492,0.0564824120603015,0.0360674339439131,0.0761406335097458,0.0856861105289936,0.0753726024582955
"groupXXI","FW2",0.03,0.02,0,0.0586021505376344,0.050752688172043,0.0351196670135276,0.0779340178002219,0.082117076067794,0.0839609968925985
"groupXXI","SW",0.03,0.02,0,0.0478947368421053,0.0415789473684211,0.0254668930390492,0.0610572587518298,0.0699110623574284,0.0713755329512362
"scaffold","FW1",0.02,0.02,0,0.0609968847352025,0.0705607476635514,0.0582855994372425,0.090077761491196,0.0878475075311716,0.0935540342100876
"scaffold","FW2",0.02,0.02,0,0.0471084337349398,0.0473493975903614,0.0353672755538282,0.0787713241236848,0.075728131554435,0.0798872629529276
"scaffold","SW",0.03,0.02,0,0.0535087719298246,0.0557017543859649,0.0449915110356537,0.0724414008667726,0.0758196427516207,0.0808724653961596
